,DayOfWeek,HourOfDay,AverageNoise
0,0,0,48.65477941176471
1,0,1,45.111200980392155
2,0,2,42.80996732026144
3,0,3,41.655522875817
4,0,4,41.75362745098039
5,0,5,43.75208333333333
6,0,6,52.11973039215686
7,0,7,58.11483660130719
8,0,8,59.72299019607843
9,0,9,59.43773692810457
10,0,10,60.00027777777778
11,0,11,59.714248366013074
12,0,12,59.080130718954244
13,0,13,59.42327614379085
14,0,14,59.15438725490196
15,0,15,59.19354575163399
16,0,16,58.51264705882353
17,0,17,58.89393790849673
18,0,18,59.454722222222216
19,0,19,58.93993464052287
20,0,20,58.0140114379085
21,0,21,56.71515522875817
22,0,22,55.351928104575165
23,0,23,53.08813725490196
24,1,0,50.21830065359477
25,1,1,46.92032679738562
26,1,2,44.44320261437909
27,1,3,43.180392156862744
28,1,4,42.690555555555555
29,1,5,44.334730392156864
30,1,6,52.3218954248366
31,1,7,57.55955882352941
32,1,8,59.545686274509805
33,1,9,59.527508169934634
34,1,10,60.45450163398692
35,1,11,60.21559640522876
36,1,12,59.38473039215687
37,1,13,59.50669070512821
38,1,14,59.12845352564103
39,1,15,59.217564102564104
40,1,16,58.08219551282051
41,1,17,58.74226762820513
42,1,18,59.247235576923075
43,1,19,59.008277243589745
44,1,20,58.143846153846155
45,1,21,56.70293269230769
46,1,22,55.74878205128205
47,1,23,53.53493589743589
48,2,0,51.56061666666667
49,2,1,48.806000000000004
50,2,2,46.041
51,2,3,44.59186666666667
52,2,4,43.82213333333333
53,2,5,45.185291666666664
54,2,6,52.20285833333333
55,2,7,57.38633333333333
56,2,8,59.54176666666666
57,2,9,59.7082
58,2,10,60.264833333333335
59,2,11,59.916333333333334
60,2,12,59.55786666666667
61,2,13,59.20105833333333
62,2,14,59.06561666666666
63,2,15,58.783625
64,2,16,58.253
65,2,17,58.74455
66,2,18,59.33185
67,2,19,58.909625
68,2,20,58.026158333333335
69,2,21,56.83723333333333
70,2,22,56.128600000000006
71,2,23,54.288491666666665
72,3,0,52.58981209150327
73,3,1,49.68248366013072
74,3,2,46.58238562091503
75,3,3,45.808169934640524
76,3,4,45.368039215686274
77,3,5,46.395089869281044
78,3,6,53.49889705882353
79,3,7,58.81632352941177
80,3,8,60.67437908496732
81,3,9,60.17069444444444
82,3,10,61.183488562091505
83,3,11,60.602222222222224
84,3,12,59.8840931372549
85,3,13,60.20049836601307
86,3,14,59.603169934640526
87,3,15,59.36482026143791
88,3,16,58.678823529411765
89,3,17,59.037148692810455
90,3,18,59.5965522875817
91,3,19,59.45377450980392
92,3,20,58.523325163398695
93,3,21,57.11071078431373
94,3,22,56.40453431372549
95,3,23,54.72063725490196
96,4,0,53.17849358974359
97,4,1,50.78258814102564
98,4,2,48.14600961538462
99,4,3,46.63621794871795
100,4,4,45.941506410256416
101,4,5,46.06777243589743
102,4,6,52.33423878205129
103,4,7,57.01283653846154
104,4,8,59.346017628205125
105,4,9,59.50788461538461
106,4,10,60.054743589743595
107,4,11,59.64836538461539
108,4,12,59.391209935897436
109,4,13,59.35206730769231
110,4,14,59.202532051282056
111,4,15,59.14114583333333
112,4,16,59.044871794871796
113,4,17,59.240088141025645
114,4,18,59.59704326923077
115,4,19,59.139415064102565
116,4,20,58.38178685897436
117,4,21,57.141450320512824
118,4,22,56.361105769230775
119,4,23,54.56942307692308
120,5,0,53.18478758169935
121,5,1,50.42455065359477
122,5,2,47.561764705882354
123,5,3,45.553594771241826
124,5,4,44.650588235294116
125,5,5,44.70316993464052
126,5,6,48.21127450980392
127,5,7,52.7662091503268
128,5,8,54.65160947712418
129,5,9,56.35724673202615
130,5,10,57.67385620915033
131,5,11,58.21794117647058
132,5,12,58.097908496732025
133,5,13,57.687826797385625
134,5,14,57.86758169934641
135,5,15,57.470620915032676
136,5,16,57.27398692810458
137,5,17,58.0790931372549
138,5,18,58.84436274509804
139,5,19,58.48440359477124
140,5,20,57.66479575163399
141,5,21,56.45861928104575
142,5,22,55.51027777777777
143,5,23,53.917761437908496
144,6,0,52.23044934640523
145,6,1,48.92566176470588
146,6,2,46.688153846153845
147,6,3,44.9512091503268
148,6,4,44.03866013071896
149,6,5,43.64976307189542
150,6,6,46.770089869281044
151,6,7,50.020196078431375
152,6,8,51.900645424836604
153,6,9,54.574411764705886
154,6,10,56.14165849673202
155,6,11,57.26964052287582
156,6,12,57.50982843137255
157,6,13,56.89837418300654
158,6,14,57.18490196078431
159,6,15,56.724468954248366
160,6,16,56.57973039215686
161,6,17,57.64051470588236
162,6,18,58.59704248366013
163,6,19,58.750359477124185
164,6,20,58.6121568627451
165,6,21,57.61471405228758
166,6,22,55.675383986928104
167,6,23,52.71125
