id	title	startTime	endTime	url	tags	address	name	latitude	longitude
26	Velonomika	2021-09-26T08:30:00Z	2021-09-26T20:00:00Z	https://fb.me/e/3QUHM3cMI		Naamsestraat 61	College van Premonstreit		
27	Welcome Back Fest	2021-10-05T11:30:00Z	2021-10-05T20:00:00Z	https://fb.me/e/1eJZn1fOb	Party	Kardinaal Mercierlaan 46	OHL		
32	Infoavond & introductie CPR	2021-10-05T18:30:00Z	2021-10-05T20:30:00Z	https://www.facebook.com/events/256584176368777	Charity, Workshop, Lecture		MTC (Maria-Theresiacollege), lokaal 2.13	50.87692362295045	4.701615022120653
33	Registration stand	2021-09-27T08:00:00Z	2021-09-27T10:00:00Z	https://www.wina.be/nl/evenementen/2021-inschrijfstand-2021/		Celestijnenlaan 200, 3001 Heverlee	Field in front of A building	50.8668457305139	4.679143474993883
34	EJW spelletjesavond	2021-09-27T18:00:00Z	2021-09-27T21:00:00Z	https://www.wina.be/nl/evenementen/2021-ejw-spelletjesavond/	First-year students	Celestijnenlaan 200	200S 00.03		
35	Eerstejaars spelletjesnamiddag 	2021-10-07T12:00:00Z	2021-10-07T16:00:00Z		First-year students	Blijde Inkomststraat 11, 3000 Leuven	Fakbar Letteren	50.87724010863243	4.708030866084276
37	Eerstejaarsweekend	2021-10-08T16:00:00Z	2021-10-10T11:00:00Z	https://fb.me/e/1krwt34Jn	First-year students		Scouts en Gidsen Hever- Schiplaken		
38	PeMe namiddag Revaki	2021-09-27T12:00:00Z	2021-09-27T21:00:00Z	https://fb.me/e/2xr2tAto7	First-year students		Alma 3		
39	PeMe namiddag LO&BW	2021-09-28T12:00:00Z	2021-09-28T21:00:00Z	https://fb.me/e/1bHKxTAef	First-year students		Alma 3		
40	Onthaaldagen	2021-09-22T12:00:00Z	2021-09-24T10:00:00Z	https://fb.me/e/1OIZR74xE	First-year students	Roosterbergstraat 36B 3680 Opoeteren	Bivakhuis 't Driege		
42	Startersdag eerstejaars	2021-09-27T10:00:00Z	2021-09-27T21:00:00Z	https://fb.me/e/Ors3zrwf	Education, First-year students	Celestijnenlaan 200, 3001 Heverlee	Campus Arenberg		
43	Openingsfeest VTK100	2021-09-29T14:00:00Z	2021-09-29T19:00:00Z	https://fb.me/e/19YeVfKje	Party		Arenbergkasteel		
44	Eerstejaarsloopje	2021-09-30T18:30:00Z	2021-09-30T19:00:00Z	https://fb.me/e/XK6Gwuhi	Sport, First-year students		Atletiekpiste Sportkot		
45	Tweedejaarsloopje	2021-09-29T18:30:00Z	2021-09-29T19:00:00Z	https://fb.me/e/1aLkUUM1a	Sport		Atletiekpiste Sportkot		
46	Onthaal 2.0: TweedejaarsBBQ	2021-09-30T16:00:00Z	2021-09-30T20:00:00Z	https://fb.me/e/1SWPRrSs9	Culinary	Celestijnenlaan 200, 3001 Heverlee	Grasveld C200		
47	Openingscantus	2021-09-28T16:00:00Z	2021-09-28T20:00:00Z	https://fb.me/e/13rJOzOCL	Cantus	Celestijnenlaan 200, 3001 Heverlee	Field C200		
48	Onthaal 2.0: Bierpongtoernooi	2021-09-27T16:45:00Z	2021-09-27T20:00:00Z	https://fb.me/e/90aMiWyfw		Celestijnenlaan 200, 3001 Heverlee	Grasveld C200		
49	Onthaalbar	2021-09-27T14:00:00Z	2021-09-27T20:00:00Z	https://fb.me/e/WKVaDzF5	First-year students		Grasveld naast Theokot		
50	Project Leuven Festival	2021-10-06T12:00:00Z	2021-10-07T21:59:00Z	https://fb.me/e/2KrU1Vw0S	Culture, Party	Studentenwijk Arenberg 1, 3001 Heverlee	Festival Field Alma 3		
51	Onthaalweekend	2021-09-21T22:00:00Z	2021-09-23T22:00:00Z	https://www.facebook.com/events/813124456023030	First-year students	Bethunestraat 11, 8970 Poperinge	Kamphuis Ter Elven		
53	EJW @Oude markt 	2021-09-28T18:00:00Z	2021-09-28T20:00:00Z	https://www.wina.be/nl/evenementen/2021-EJW-Oude-Markt/	First-year students	Studentenwijk Arenberg 4/0	Winagang		
54	EJW Karaoke	2021-09-30T18:00:00Z	2021-09-30T20:00:00Z	https://www.wina.be/nl/evenementen/2021-ejw-karaoke/	First-year students	Celestijnenlaan 200S	200 S		
55	EJW Kubb	2021-09-30T10:00:00Z	2021-09-30T12:00:00Z	https://www.wina.be/nl/evenementen/2021-ejw-kubb-middag/	Sport, First-year students		 Grasveld tussen Thermotechnisch instituut en de Dijle (00.T003)		
58	Onthaal: Stadsspel	2021-09-29T19:00:00Z	2021-09-29T21:00:00Z	https://fb.me/e/17rmjwsaX	First-year students		Ladeuzeplein		
59	Onthaalactiviteit Sport	2021-09-28T13:00:00Z	2021-09-28T15:00:00Z		Sport, First-year students		Beachvolleybal velden		
61	Kroegentocht Cluster	2021-09-22T17:30:00Z	2021-09-22T23:00:00Z	https://fb.me/e/Ee4IaFa6	Party	Lemmensberg 3			
62	Clustercafé	2021-09-21T17:30:00Z	2021-09-21T23:00:00Z	https://fb.me/e/1IJMCQXhu	Party	Lemmensberg 3			
63	Eerstejaarsweekend BIOS	2021-09-23T13:30:00Z	2021-09-24T22:00:00Z	https://fb.me/e/2kIxs1sz5	First-year students		Chirolokalen Holsbeek-plein		
64	Break The Bubble TD	2021-10-06T19:00:00Z	2021-10-07T02:00:00Z	https://fb.me/e/1ig26USPs	Party		Popclub (Rumba)		
65	Night of the Lion	2021-11-04T18:00:00Z	2021-11-05T03:00:00Z	https://fb.me/e/1Q37PBJIy	Party	Brabantlaan 1, 3001 Leuven	Brabanthal		
66	STUVO Kick off event Cluster	2021-09-29T13:00:00Z	2021-09-29T21:30:00Z	https://fb.me/e/1DCNLGYfL	First-year students	Lemmensberg 3			
67	Rekruteringsavond Quivr	2021-10-12T18:00:00Z	2021-10-12T21:00:00Z				Agora Machu Picchu		
68	EJW Quiz	2021-09-29T17:00:00Z	2021-09-29T19:00:00Z	https://www.wina.be/nl/evenementen/2021-ejw-pr%C3%A9-bar-quiz/	Quiz, First-year students	Celestijnenlaan 200K, 3001 Heverlee	200K lokaal 00.06	50.86368345693925	4.6801090702392445
69	First Year Cocktailparty	2021-09-29T18:00:00Z	2021-09-29T21:59:00Z	https://www.facebook.com/events/1460636790988346	First-year students	Blijde Inkomststraat 11, 3000 Leuven	Fak Letteren	50.87734673166684	4.708143518862902
70	Cocktail party 	2021-10-06T18:00:00Z	2021-10-06T21:59:00Z		Party	Blijde Inkomststraat 11, 3000 Leuven	Fak Letteren	50.877312883110825	4.708111332354723
71	Boer(in) ZKT Beest cantus	2021-09-29T15:30:00Z	2021-09-29T19:00:00Z	https://fb.me/e/174URBVHN	Cantus, Party		Campus Arenberg		
72	Free Breakfast BSA	2021-09-27T06:00:00Z	2021-09-27T10:00:00Z	https://industria.be/industria-activities/free-breakfast-bsa/		Andreas Vesaliusstraat 13, 3000 Leuven, Belgium	Blue Stone, Group T	4.6975327	50.8829111
73	Change the system, not the climate: in gesprek met Jos D'Haese	2021-10-12T17:00:00Z	2021-10-12T20:00:00Z	https://www.facebook.com/events/1008244823347614	Lecture	Parkstraat 49, 3000 Leuven	AV 01.12	50.873027457343156	4.703540848193346
74	OnthaalBBQ	2021-09-29T16:00:00Z	2021-09-29T20:00:00Z	https://fb.me/e/5z2cwEkXm	Culinary, First-year students		Grasveld C200		
75	Onthaal Picknick	2021-10-01T10:30:00Z	2021-10-01T12:00:00Z	https://fb.me/e/1jnJYnd5i	Culinary, First-year students		Grasveld naast Theokot		
